SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,NCR-BEML RS3R-T&C-CPD-403,28/Dec/21,28/Dec/21,VVVF s/w version 0.03,Train was Aux-On and air pressure was built-up from 0 to 10 bar. PRM54 mode was applied during the process but it continued to be applied even after pressure was built-up to 10 bar. Speed restriction (PRM54) could be released only after train Aux-Off and Aux-On.,,,,___,___,Shashi Shekhar Mishra,___,VVVF,All trains,,M/s MELCO,OPEN,,,,,,,,To be confirmed from BEML side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,NCR-BEML RS3R-T&C-CPD-404,03/Jan/22,30/Dec/21,Supply air fan (SAF) 1 ,"Metro Railway reported that supply air fan-1 CB tripped in TS#01, TC2, VAC-2 . 
During investigation, following Observations were noticed:
i.  QM05 ( MPCB) of SAF1 found tripped.
ii. Winding resistance of faulty Supply air fan were checked and found Ru-v = OL, Rv-w = 13Ohm, Rw-u = OL.
iii. Due to above findings, SAF1 was confirmed as faulty.
iv. Faulty SAF1 was replaced with new SAF1 which was taken from DLP stock.
v. On board and function check were done and found normal.
vi. Details of healthy and Faulty SAF Serial no. 
     Sl. No (In): AH07006150/1912/04
     Sl. No (Out): AH07003915/1819/41",,,,AH07003915/1819/41,AH07006150/1912/04,Suraj Pd Barnwal,1,VAC,1,T-2- VAC2,M/s Faiveley,OPEN,Recouped,Supply air fan (SAF) ,30.12.21,DLP,Pending,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,NCR-BEML RS3R-T&C-CPD-405,03/Jan/22,30/Dec/21,Spring of TO seat,"TS#02- DMC1- During daily fitness check, it was reported by Metro Railway that both springs found damaged in TO seat & TO seat was not coming automatically to its original position after getting up from TO seat. TO seat has been replaced from TS#13, DMC1 cab and now found working normal.",,,,___,___,Sunil Kumar Rajan,2,Interior,2,DM-1- cab,M/s Natroyal Industries Pvt Ltd.,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,NCR-BEML RS3R-T&C-CPD-406,05/Jan/22,22/Nov/21,LAD05A,TS#09 DMC1- EBCU fault CDA ASV1 activation LAD05A reported during train fitness at CPD depot.,,,,Z05250586,Z08242845,Sunil Kumar Rajan,1,Brake,9,DM-1-EBCU1,M/s KBI,CLOSED,Recouped,LAD05A,10.08.22,DLP,,,,Material provided in DLP stock.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,NCR-BEML RS3R-T&C-CPD-407,10/Jan/22,21/Dec/21,Partition door Bracket,"During revenue oparation of TS03/DMC1 car,partition door was not locking
properly.Further ,it has been checked in mainline with end customer,
and found that partition door was minor bend and locking male part was not inserting the bracket.",,,,___,___,Shashi Shekhar Mishra,1,Interior,3,DM-1,M/s ADS Rail,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,NCR-BEML RS3R-T&C-CPD-408,11/Jan/22,28/Dec/21,DVR,"During commissioning of TS06 and uploading software by PTCS,It had concluded that power was not coming on DVR.After investigation found that DVR was faulty.
Further,check and found that this DVR has been already repaired by PTCS, and after installation by PTCS,power was not coming.",,,,___,___,Shashi Shekhar Mishra,1,PAPIS,6,DM-1,M/S TELEVIC,OPEN,,,,,,Mail received on 21.04.22 for receiving materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,NCR-BEML RS3R-T&C-CPD-409,11/Jan/22,10/Jan/22,External Camera,"M/S Telvic has no investigate.
This is repetitive case ref:NCR_323 against TS06 repaired by M/S PTCS and while configuring the camera again faliure noticed. ",,,,ACC8E66E517,___,Shashi Shekhar Mishra,1,CCTV,6,DM-1 R/S,M/S TELEVIC,OPEN,Repaired,,,,,Mail received on 21.04.22 for receiving materials,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,NCR-BEML RS3R-T&C-CPD-410,11/Jan/22,10/Jan/22,DVR,"During Commissioning  of TS06 and uploading software by PTCS ,it had
concluded that Communication not coming on DVR and Switches.After
investigation found that DVR was faulty.
Further,check and found that this DVR has been already repaired by PTCS,
And after installation by PTCS ,Communication  was not happening.",,,,1802137-0005,1806236-0004,Shashi Shekhar Mishra,1,CCTV,6,DM-2,M/S TELEVIC,OPEN,Recouped,DVR,10.01.22,DLP,"Received 
28.08.23",Mail received on 21.04.22 for receiving materials,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,NCR-BEML RS3R-T&C-CPD-411,18/Jan/22,12/Jan/22,RS10 AVR Card,"1-During testing of shore dupply in TS#11, we noticed that battery 2 is not
charging in shore supply mode in TC2 APS2.
2-Later we swapped GCU beetween APS1 and APS2 of T2 car,noticed fault also got shifted.
3-After detailed investigation Melco has confirmed that AVR card in GCU was faulty.",,,,DL22890PI,___,Suraj Pd Barnwal,1,APS,11,T-2-APS2,M/S MELCO,OPEN,,YES,,,"Received 
dt. 29.03.2023",,204,Both IR & material received.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,NCR-BEML RS3R-T&C-CPD-412,18/Jan/22,15/Jan/22,Flasher Light Pushbutton (yellow indicator color),TS#01 - DMC1- Flasher light push button LED is not glowing after pushing th flasher light on reported by metro railway during Train fitness at CPD depot.,,,,___,___,Sunil Kumar Rajan,1,Lighting,1,DM-1,M/S AAL,CANCELED,,,,,,,,This NCR 412 Superseded to NCR 412A ( REPL ) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,NCR-BEML RS3R-T&C-CPD-412A,30/Jun/22,29/Jun/22,Flasher Light Pushbutton assembly with bulb (yellow indicator color),"Following points are reported by Mtero Railway:
1.TS#01 - DMV-1- Flasher light push button LED is not glowing.
2.Sometimes Flasher light PB is stuking while pressing the flasher light PB in ON cindition.",___,,,___,___,Suraj Pd Barnwal,1,Lighting,1,DM-1,M/s REPL,OPEN,"Recouped on 
20.08.2022",,,,,,,"Opened, 1 no. required against NCR,
Additional 1 no. to be provided for DLP.


On 20.01.25 - NCR Partially closed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,NCR -BEML RS3R-T&C-CPD-413,31/Jan/22,04/Jan/22,TFT,"During commissioning of TS#06,after uploading software TFT screen was 
showing white.After investigation by M/S PTCS it has confirmed that TFT was 
faulty.
This TFT was found faulty earlier in TS#11_DMC2_R3_TFT with NCR 256 was
raised that time.
",,,,1806338-0073,___,Shashi Shekhar Mishra,1,PAPIS,6,DM-1 - R1,M/S Televic,OPEN,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,NCR-BEML RS3R-T&C-CPD-414,31/Jan/22,22/Jan/22,TFT,"During commissioning of TS#06/DMC1/L2 was not working.
After investigation by M/S PTCS it has confirmed that TFT was faulty.
This TFT was found faulty earlier in TS#11_DMC2_R3_TFT with NCR 263 was raised at that time.
",,,,1806338-0108,___,Shashi Shekhar Mishra,1,PAPIS,6,DM-1 - L2,M/S Televic,OPEN,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,NCR-BEML RS3R-T&C-CPD-415,31/Jan/22,16/Jan/22,PEAU,"During daily checking ,it was found that cab call communication was not
happening.
After investigated by M/S PTCS,it has confirmed that PEAU was faulty.Same  
has been replaced from DLP spares.",,,,1800699-0042,___,Shashi Shekhar Mishra,1,PAPIS,7,DM-1 - R2,M/S Televic,CLOSED,,,,,"Received
28.08.23",,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,NCR-BEML RS3R-T&C-CPD-416,31/Jan/22,04/Jan/22,PEAU,"During commissioning of TS#06,it was noticed that TC2/L1 communication 
was not happening trough PEAU.
After investigated by M/S PTCS,it has confirmed that PEAU was faulty.Same 
has been replaced from DLP spares.
This is repeated faliure and it has repired by M/S PTCS agains NCR_196 (TS03/DMC2/PEAU4).",,,,1805113-0015,___,Shashi Shekhar Mishra,1,PAPIS,6,DM-1 - R2,M/S Televic,OPEN,Repaired,,,,,Mail received on 21.04.22 for receiving material,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,NCR-BEML RS3R-T&C-CPD-417,31/Jan/22,11/Jan/22,PEAU,"During commissioning of TS#06,it was noticed that TC2 Car R2 PEAU communication was not happening.
After investigated by M/S PTCS, it has confirmed that PEAU was faulty.",,,,1804067-0016,___,Shashi Shekhar Mishra,1,PAPIS,6,T-2 - R2,M/S Televic,OPEN,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,NCR-BEML RS3R-T&C-CPD-418,31/Jan/22,20/Jan/22,PEAU,"During commissioning of TS#06,it was noticed that DMC1/L1 PEAU communication was npt happening and Red light was glowing continually on PEAU.
After investigated by M/s PTCS ,it has confirmed that PEAU was faulty .Same has been replaced from DLP spares.",,,,1800698-0044,___,Shashi Shekhar Mishra,1,PAPIS,6,DM-1 - L1,M/S Televic,CLOSED,Repaired,,,,"Received
28.08.23",Mail received on 21.04.22 for receiving material,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,NCR-BEML RS3R-T&C-CPD-419,31/Jan/22,20/Jan/22,AAU,"During commissioning of TS#06,It was found that TC2 car externel speaker audio was low.
After investigation nu M/S PTCS,it was found the AAU was faulty.
This is unmodified AAU.",,,,1800964-0001,___,Shashi Shekhar Mishra,1,PAPIS,6,T-2 ,M/S Televic,CLOSED,,,,,"Received
28.08.23",,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,NCR-BEML RS3R-T&C-CPD-420,31/Jan/22,20/Jan/22,AAU,"During commissioning of TS#06,It was found that DMC1 car internal speaker (4Nos) audio vlume was low.
After investigation by M/S PTCS,it was found the AAU was faulty.
This is unmodified AAU.",,,,1800962-0036,___,Shashi Shekhar Mishra,1,PAPIS,6,DM-1 ,M/S Televic,CLOSED,,,,,"Received
28.08.23",,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,NCR-BEML RS3R-T&C-CPD-421,31/Jan/22,27/Jan/22,AAU,"During routine checking ,it was found that R1,R3 and L2,L4 loop abnormal sound output was there.
After investigation by M/S PTCS,it was found the AAU was faulty.
This is unmodified AAU.
",,,,1800962-0030,___,Shashi Shekhar Mishra,1,PAPIS,9,M-1 ,M/S Televic,CLOSED,,,,,"Received
28.08.23",,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,NCR-BEML RS3R-T&C-CPD-422,31/Jan/22,22/Jan/22,AAU,"During commissioning of TS#06,It was found that DMC1 car internal speaker (4Nos) audio vlume was low.
After investigation by M/S PTCS,it was found the AAU was faulty.
This is unmodified AAU.",,,,1800962-0010,___,Shashi Shekhar Mishra,1,PAPIS,5,DM-1 ,M/S Televic,CLOSED,,,,,"Received
28.08.23",,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,NCR-BEML RS3R-T&C-CPD-423,31/Jan/22,12/Jan/22,External Speaker ,"During commissioning of TS#06,it was found that TC1 car L1 external speaker audio output was very low from the speaker.",,,,1890002-0330,___,Shashi Shekhar Mishra,1,PAPIS,6,T-1 - L2,M/S Televic,OPEN,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,NCR-BEML RS3R-T&C-CPD-424,31/Jan/22,12/Jan/22,External Speaker ,"During commissioning of TS#06,it was found that TC1 car left side EXT speker-2 audio output was very low from the speaker.",,,,1890002-0330,___,Shashi Shekhar Mishra,1,PAPIS,6,T-1 - L2,M/S Televic,OPEN,Pending,External Speaker ,21.01.22,DLP,Pending,Mail recd on 21.04.22 for rec mat,187,"IR- Pending
Item- Pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,NCR-BEML RS3R-T&C-CPD-425,31/Jan/22,17/Jan/22,External Speaker ,"During commissioning of TS#06,it was found that DMC1 Car EXT-2 left side audio output was very low from the speaker ",,,,1890002-0200,___,Shashi Shekhar Mishra,1,PAPIS,6,DM-1 - L2,M/S Televic,OPEN,Pending,External Speaker ,21.01.22,DLP,Pending,Mail recd on 21.04.22 for rec mat,187,"IR- Pending
Item- Pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,NCR-BEML RS3R-T&C-CPD-426,31/Jan/22,26/Jan/22,External Speaker ,"During commissioning of TS#06,it was found that MC1 Car left side extrnal speaker-2 audio output was very low from the speaker ",,,,1890001-0009,___,Shashi Shekhar Mishra,1,PAPIS,6,M-1 - L2,M/S Televic,OPEN,Repaired,,,,,Mail recd on 21.04.22 for rec mat,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,NCR-BEML RS3R-T&C-CPD-427,02/Feb/22,03/Mar/22,Emergency inverter,"TS#05 MC1-VAC-1 was not working emergency moe.
At Invereter TB pin no. 4(INV OK feedback),0 Volt was found.Hence,it was concluded that the inverter was faulty.",BTN2028051,Modified ,NO,"i)BTN20280051-446
ii)BTN2028U5I-346",BTN2028U5I-197,Sunil Kumar Rajan,1,VAC,05,M-1-VAC-1,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,Received,,189,Failure rate is high. Issue under monitoring.,"YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,NCR-BEML RS3R-T&C-CPD-428,02/Feb/22,01/Feb/22,Condenser fan motor- Cab,"TS#09,DMC-1,Cab VAC Condenser fan CB tripped reported by Metro Railway
during daily service checking at IBL 03.
Checked and found that condenser fan was not running,QM02 CB and after 
further investigation it was noticed that Condensner fan otor resistance were
V&W - 100 OM,U&V - 15.3 OM AND U&W - 104 OM.
FTI has confirmed the condenser fan motor faulty due to unbalance 
motor resistance.",,,,10007333295,___,Sunil Kumar Rajan,1,VAC,9,DM-1-Cab VAC,M/s Faiveley,CLOSED,,,02.04.22,,Received,,190,"Material- Recouped
IR- Rreceived",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,NCR-BEML RS3R-T&C-CPD-429,01/Feb/22,01/Feb/22,Emergency Inverter,"TS#07,TC2,VAC 1,Emergency inverter fault was reported in depot.During investigation , same has been checked by connecting  with MONA,DF_EMERF fault has been logged.",,Unmodified,NO,BTN2028U5I-0445,BTN2028U5I-273,Shilpa Sahu,1,VAC,07,T-2 VAC 1,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,01.11.23,,194,,"YES
(Attached with NCR 534)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,NCR-BEML RS3R-T&C-CPD-430,10/Feb/22,03/Feb/22,Emergency Inverter,"TS#05 MC1 - VAC-1 was not working in emergency mode.
At inverter TB  pin no. 4(INV OK feedback),0 volt was found.
Hence,it was convluded that the inverter was faulty.",FT0051810-100,Unmodified,NO,BTN2028U5I-197,BTN2028U50436,Sunil Kumar Rajan,1,VAC,05,M-1 VAC 1,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,Received,,194,Failure rate is high. Issue under monitoring.,"YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,NCR-BEML RS3R-T&C-CPD-431,10/Feb/22,04/Feb/22,Emergency Inverter,"TS#04 TC1 - VAC 1 was not working in emergency mode during mainline 
operation.At invereter TB pin no.4(INV Okfeedback).0 volt was found.Hence,it was concluded that the inverter was faulty.",,Unmodified,NO,BTN2028U5I-351,BTN2028U5I-278 ,Sunil Kumar Rajan,1,VAC,04,T-1  VAC 1,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,Received,,194,Failure rate is high. Issue under monitoring.,"YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,NCR-BEML RS3R-T&C-CPD-432,21/Feb/22,03/Feb/22,Emergency Inverter,"In TS#07 ,TC-2,VAC-1,Emergency Inverter fault  was reported in depot.During investigation,same has been checked by connecting with MONA,DF_EMERF fault has been logged.
VAC was forced to run in emergency mode through MONA & found that VAC Iis not running.Further ,at inverter terminal box pins,following were observed.
(a) At pin no.4 (for EMI ok signal to PLC) output voltage is coming as 2-3V as against 110 V.
(b) Output voltage at pin no. 7,8 &9 is zero.(i.e. no output)
Hence,it was concluded that emergency inverter  was faulty.
The same has been replaced from FTI stock.",,Modified ,NO,BTN2028U5I-273,BTN2028U5I-0439,Shilpa Sahu,1,VAC,07,T-2 VAC-1,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,Received,,194,"Failure rate is high. Issue under monitoring.
No DLP stock involved. Wrong entry made in NCR description.","YES
(Attached with NCR 497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,NCR-BEML RS3R-T&C-CPD-433,15/Feb/22,14/Feb/22,HP Sensor,TS#06 - DMC2- VAC-1  high pressure sensor fault reported by Metro Railway during the first day of revenue service.,,,,Z180312963,Z180378787,Sunil Kumar Rajan,1,VAC,6,DM-2 VAC 1,M/s Faiveley,CLOSED,REPLACED,HP Sensor,26.04.22,DLP,Received,,197,FMI proposed. Issue under monitoring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,NCR-BEML RS3R-T&C-CPD-434,25/Feb/22,23/Feb/22,HP Sensor,"TS# 07-TC-2-VAC-2- High pressure sensor fault reported during train fitness at depot on 23.02.2022 & during investigation found fault reset after 30 minuts and did not found any abnormally in HP sensor.
Same fault again reported high pressure sensor fault on dated 24.02.22",,,,Z180312951,Z180378785,Sunil Kumar Rajan,1,VAC,7,T-2- VAC 2,M/s Faiveley,CLOSED,REPLACED,HP Sensor,26.04.22,DLP,Received,,198,FMI proposed. Issue under monitoring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,NCR-BEML RS3R-T&C-CPD-435,15/Mar/22,02/Mar/22,TFT,TS#09 MC-2 L-2 TFT - Communicaiton error for PIS TFT was reported and then checked all related  wires and found normal.TFT is faulty by M/s PTCS.,94221151,,,1800687-0004,1806338-0104,Suraj Pd Barnwal,1,PAPIS,9,M-2 L-2,M/S Televic,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,NCR-BEML RS3R-T&C-CPD-436,10/Mar/22,03/Mar/22,Door Control Unit (DCU),"During schedule checking of train at depot,it was reportedthat R 4 door of TS# 11,MS1 car is showing unknown on TCMS VDU.On further checking it is found that reffered DCU is not able to Power on even though 110 V is available from car builder side.M/s KBI on investigation and confirm the reason for failiure.
For making train ,the faulty DCU has been replaced with healthy DCU from DLP stock.",3ED01922R20,,,315281-00000337(0118),315281-00000546(0718),Shilpa Sahu,1,Door,11,M-1-R4,M/S KBI,CLOSED,Recouped,Door Control Unit (DCU),03.03.22,DLP,"Received 
29.03.24",,202,"IR- Received
Material- Received",YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,NCR-BEML RS3R-T&C-CPD-437,14/Mar/22,10/Mar/22,TFT ,TS#02 DMC-1 R-3 TFT - Communication error fot PIS TFT -3 reported by Metro Railway.,94221151,,,94221151/1804066-0004,94221151/18036608-0108,Sunil Kumar Rajan,1,PAPIS,02,DM-1  TFT-3 (R-3),M/S Televic,CLOSED,,,,,"Received 
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,NCR-BEML RS3R-T&C-CPD-438,14/Mar/22,11/Mar/22,Emergency Inverter,"TS #09 MC-1 VAC-2 Emergency Inverter fault was reported.Checked and found that the each output phase voltage of VAC emergency inverter were 0 volt and inverter ok signal to PLC was not getting also.However,this emergency inverter is replaced with another one and on-board test was done and found normal.",FT0051810-100,Unmodified,NO,BTN2028U5I-0429,BTN2028U5I-383,Suraj Pd Barnwal,1,VAC,09,M-1 VAC-2,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,01.11.23,,203,,"YES
(Attached with NCR 534)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,NCR-BEML RS3R-T&C-CPD-439,15/Mar/22,14/Mar/22,Emergency Inverter,"TS #09 MC-1 VAC-1 Emergency Inverter fault was reported.Checked and found that  inverter ok signal to PLC was not coming at pin no.4 at Emergency Inverter.However,this emergency inverter is replaced with another one and on-board test was done and found normal.",FT0051810-100,Unmodified,NO,BTN2028U5I-0470,BTN2028U5I-351,Suraj Pd Barnwal,1,VAC,09,M-1 VAC-1,M/s Faiveley,CLOSED,REPLACED,Emergency inverter,,REPLACEMENT BY VENDOR,01.11.23,,203,,"YES
(Attached with NCR 534)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,NCR-BEML RS3R-T&C-CPD-440,22/Mar/22,15/Mar/22,Saloon Light LED Card,"During revenue operation,it was reported by customer that in TC2 car near to DL3 door saloon light is half glowing.
In depot.during analysis,it was found that 1 No. of LED card of referred saloon light is faulty.
The same has been replaced from DLP stock.",TLL2754,,,TLL2754-18015,C19021,Shilpa Sahu,1,Lighting,04,T-2, M/s TEKNOWARE,OPEN,Pending,Saloon Light LED Card,15.03.22,DLP,Pending,,,"Material- Pending
IR- Pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,NCR-BEML RS3R-T&C-CPD-441,23/Mar/22,17/Mar/22,TFT,"During daily check TS#09 MC-2 L1 TFT was not working and TFT screen was blank.
After investigaton by M/s PTCS it has confirmed thst TFT was faulty.",_,,,1800687-0027,1806338-0073,Shashi Shekhar Mishra,1,PAPIS,09,M-2 L-1,M/S Televic,CLOSED,,,,,"Received 
28.08.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
